edgeID,startNode,endNode
CHALL006L1_CREST002L1,CHALL006L1,CREST002L1
CREST002L1_CLABS001L1,CREST002L1,CLABS001L1
CLABS001L1_WELEV00ML1,CLABS001L1,WELEV00ML1
WELEV00ML1_CHALL005L1,WELEV00ML1,CHALL005L1
CHALL005L1_CLABS002L1,CHALL005L1,CLABS002L1
CLABS002L1_CREST001L1,CLABS002L1,CREST001L1
CREST001L1_WELEV00LL1,CREST001L1,WELEV00LL1
WELEV00LL1_CHALL014L1,WELEV00LL1,CHALL014L1
WELEV00ML1_WELEV00ML2,WELEV00ML1,WELEV00ML2
WELEV00ML2_CHALL005L2,WELEV00ML2,CHALL005L2
CHALL005L2_WHALL001L2,CHALL005L2,WHALL001L2
CHALL005L2_CHALL006L2,CHALL005L2,CHALL006L2
CHALL006L2_CHALL007L2,CHALL006L2,CHALL007L2
CHALL007L2_CHALL008L2,CHALL007L2,CHALL008L2
CHALL008L2_WELEV00LL2,CHALL008L2,WELEV00LL2
CHALL008L2_CHALL009L2,CHALL008L2,CHALL009L2
CHALL009L2_CHALL010L2,CHALL009L2,CHALL010L2
