ID,Name,Amount,Type,Status,Employee,Destination,Date,Time,Priority
EQU3303,Recliners,0,null,In Progress,00010,HHALL00603,2022-04-28,20:09:19,1
EQU4630,Infusion Pumps,2,null,In Progress,00010,uSTOR00101,2022-04-28,20:09:53,1
EQU2216,Sethoscope,45,Equipment,In Progress,00000,uSTOR0L1,4/4/2022,23:13:37,1
EQU1369,Scissors,7,null,In Progress,00013,HRETL00302,2022-04-28,01:20:53,1
EQU2337,Beds,12,null,In Progress,00010,HHALL00603,2022-04-28,20:18:13,1
EQU7105,Catheter,5,Equipment,In Progress,00000,FDEPT00201,2022-04-13,12:09:52,1
EQU9526,Body Bag,32,Equipment,sent,00010,HBATH00103,2022-04-20,04:36:47,1
EQU2214,Recliners,4,null,In Progress,00010,HHALL00603,2022-04-28,20:25:02,1
EQU7224,Oxygen Mask,54,Equipment,In Progress,00000,uSTOR0L1,4/4/2022,23:13:37,1
EQU9887,Beds,2,null,In Progress,00010,HHALL00603,2022-04-28,19:56:20,1
EQU3660,Beds,2,null,In Progress,00010,HHALL00603,2022-04-28,19:56:20,1
EQU7464,Recliners,4,null,In Progress,00010,HHALL00603,2022-04-28,20:18:13,1
EQU4,Beds,2,null,In Progress,00010,HHALL00603,2022-04-28,20:09:53,1
EQU8550,Infusion Pumps,2,null,In Progress,00010,uSTOR00101,2022-04-28,20:09:53,1
EQU6131,Beds,6,null,In Progress,00010,HHALL00603,2022-04-28,20:18:13,1
EQU474,Infusion Pumps,6,null,In Progress,00010,uSTOR00101,2022-04-28,20:09:19,1
EQU479,Body Bag,5,Equipment,sent,00002,CLABS002L1,2022-04-21,21:43:56,1
EQU358,Glove,4,null,In Progress,00004,FHALL02601,2022-04-28,01:26:57,1
EQU3307,Oxygen Mask,9,null,In Progress,00010,uPATI05803,2022-04-28,01:22:57,1
EQU6817,Body Bag,3,null,In Progress,00004,FHALL02601,2022-04-28,01:26:57,1
EQU1012,First Aid Kit,1254,Equipment,In Progress,00000,uSTOR0L1,4/4/2022,23:33:26,1
EQU5297,Infusion Pumps,2,null,In Progress,00010,uSTOR00101,2022-04-28,19:56:20,1
EQU6386,X-Ray Machine,0,null,In Progress,00010,HHALL00603,2022-04-28,20:09:19,1
EQU7236,Beds,6,null,In Progress,00010,HHALL00603,2022-04-28,20:09:19,1
EQU8686,First Aid Kit,10,Equipment,In Progress,00000,FDEPT00201,2022-04-12,01:53:40,1
EQU5293,Beds,12,null,In Progress,00010,HHALL00603,2022-04-28,20:13:29,1
EQU125,Infusion Pumps,2,null,In Progress,00010,uSTOR00101,2022-04-28,20:09:19,1
EQU4092,Infusion Pumps,2,null,In Progress,00010,uSTOR00101,2022-04-28,19:56:20,1
EQU1934,Infusion Pumps,2,null,In Progress,00010,uSTOR00101,2022-04-28,20:09:53,1
EQU1019,Beds,10,null,In Progress,00010,HHALL00603,2022-04-28,20:09:53,1
EQU5618,X-Ray Machine,0,null,In Progress,00010,HHALL00603,2022-04-28,19:50:50,1
EQU5983,X-Ray Machine,0,null,In Progress,00010,HHALL00603,2022-04-28,19:56:20,1
EQU6157,Infusion Pumps,2,null,In Progress,00010,uSTOR00101,2022-04-28,20:09:53,1
EQU9664,Recliners,7,null,In Progress,00010,HHALL00603,2022-04-28,20:09:53,1
EQU1141,Beds,13,null,In Progress,00001,FHALL02201,2022-04-28,01:21:33,1
EQU9782,Beds,2,null,In Progress,00010,HHALL00603,2022-04-28,19:40:09,1
EQU8460,X-Ray Machine,0,null,In Progress,00010,HHALL00603,2022-04-28,19:45:13,1
EQU330,Bone Saw,0,Equipment,In Progress,00000,uSTOR0L1,4/4/2022,23:10:44,1
EQU7808,Surgical Mask,32,null,In Progress,00010,uPATI05803,2022-04-28,01:22:57,1
EQU572,Beds,6,null,In Progress,00010,HHALL00603,2022-04-28,19:56:20,1
EQU6959,Wheelchair,3,null,In Progress,00011,CHALL014L1,2022-04-28,01:19:10,1
EQU1826,Infusion Pumps,2,null,In Progress,00010,uSTOR00101,2022-04-28,20:18:13,1
EQU7928,X-Ray Machine,0,null,In Progress,00010,HHALL00603,2022-04-28,20:25:02,1
EQU5636,X-Ray Machine,0,null,In Progress,00010,HHALL00603,2022-04-28,19:40:09,1
EQU1035,Scissors,11,null,In Progress,00004,FHALL02601,2022-04-28,01:26:57,1
EQU2128,X-Ray Machine,0,null,In Progress,00010,HHALL00603,2022-04-28,19:21:27,1
EQU2005,Recliners,0,null,In Progress,00010,HHALL00603,2022-04-28,20:09:53,1
EQU5199,Infusion Pumps,2,null,In Progress,00010,uSTOR00101,2022-04-28,19:40:09,1
EQU8347,Recliners,1,null,In Progress,00010,HHALL00603,2022-04-28,20:09:19,1
EQU4781,Recliners,2,null,In Progress,00010,HHALL00603,2022-04-28,20:09:19,1
EQU6286,Recliners,1,null,In Progress,00010,HHALL00603,2022-04-28,19:56:20,1
EQU8341,Beds,10,null,In Progress,00010,HHALL00603,2022-04-28,20:18:13,1
EQU2808,X-Ray Machine,0,null,In Progress,00010,HHALL00603,2022-04-28,20:09:53,1
EQU8906,Infusion Pumps,2,null,In Progress,00010,uSTOR00101,2022-04-28,20:09:19,1
EQU59,Recliners,0,null,In Progress,00010,HHALL00603,2022-04-28,19:56:20,1
EQU6858,Beds,2,null,In Progress,00010,HHALL00603,2022-04-28,19:56:20,1
EQU1044,Beds,10,null,In Progress,00010,HHALL00603,2022-04-28,20:13:29,1
EQU8911,Infusion Pumps,2,null,In Progress,00010,uSTOR00101,2022-04-28,20:09:19,1
EQU4797,Recliners,2,null,In Progress,00010,HHALL00603,2022-04-28,20:09:53,1
EQU9569,Catheter,2,null,In Progress,00009,HRETL00302,2022-04-28,01:17:51,1
EQU5089,Wheelchair,17,null,In Progress,00005,HHALL00602,2022-04-28,01:26:02,1
EQU6057,Beds,2,null,In Progress,00010,HHALL00603,2022-04-28,20:09:53,1
EQU1280,Gloves,32,Equipment,In Progress,00000,uSTOR0L1,4/4/2022,23:13:37,1
EQU6056,Beds,2,null,In Progress,00010,HHALL00603,2022-04-28,20:09:19,1
EQU1041,Beds,10,null,In Progress,00010,HHALL00603,2022-04-28,19:56:20,1
EQU9682,Beds,17,null,In Progress,00013,HDEPT00102,2022-04-28,01:24:56,1
EQU397,Glove,9,null,In Progress,00013,HDEPT00102,2022-04-28,01:25:02,1
