edgeID,startNode,endNode
CHALL006L1_CREST002L1,CHALL006L1,CREST002L1
CREST002L1_CLABS001L1,CREST002L1,CLABS001L1
CLABS001L1_WELEV00ML1,CLABS001L1,WELEV00ML1
WELEV00ML1_CHALL005L1,WELEV00ML1,CHALL005L1
CHALL005L1_CLABS002L1,CHALL005L1,CLABS002L1
CLABS002L1_CREST001L1,CLABS002L1,CREST001L1
CREST001L1_uSTOR0L1,CREST001L1,uSTOR0L1
WELEV00LL1_CHALL001L1,WELEV00LL1,CHALL001L1
CHALL014L1_WELEV00LL1,CHALL014L1,WELEV00LL1
CDEPT003L1_CHALL014L1,CDEPT003L1,CHALL014L1
CDEPT002L1_CDEPT003L1,CDEPT002L1,CDEPT003L1
