ID,Name,Amount,Type,Status,Employee,Destination,Date,Time,Priority
EQU6318,First Aid Kit,744,Equipment,In Progress,00000,uSTOR0L1,4/4/2022,23:13:37,1
EQU1540,First Aid Kit,100,Equipment,In Progress,00000,FDEPT00101,2022-04-12,01:54:16,1
EQU5027,First Aid Kit,100,Equipment,In Progress,00000,FDEPT00201,2022-04-12,02:11:39,1
EQU2216,Sethoscope,45,Equipment,In Progress,00000,uSTOR0L1,4/4/2022,23:13:37,1
EQU8934,Catheter,19,null,In Progress,00013,HHALL00203,2022-04-27,00:44:23,1
EQU8755,Body Bag,678,Equipment,In Progress,00000,uSTOR0L1,4/4/2022,23:13:37,1
EQU7105,Catheter,5,Equipment,In Progress,00000,FDEPT00201,2022-04-13,12:09:52,1
EQU9526,Body Bag,32,Equipment,sent,00010,HBATH00103,2022-04-20,04:36:47,1
EQU7224,Oxygen Mask,54,Equipment,In Progress,00000,uSTOR0L1,4/4/2022,23:13:37,1
EQU9369,Ventilator,76,Equipment,In Progress,00000,uSTOR0L1,4/4/2022,23:13:37,1
EQU1280,Gloves,32,Equipment,In Progress,00000,uSTOR0L1,4/4/2022,23:13:37,1
EQU8993,Catheter,69,Equipment,sent,00009,HHALL00603,2022-04-23,16:06:15,1
EQU8257,Dresing,876,Equipment,In Progress,00000,uSTOR0L1,4/4/2022,23:13:37,1
EQU1184,Syringe,25,Equipment,In Progress,00000,uStOR0L1,2022-04-12,22:36:24,1
EQU1580,Catheter,0,Equipment,In Progress,00000,FDEPT00301,2022-04-13,10:44:32,1
EQU513,Masks,78,Equipment,In Progress,00000,uSTOR0L1,4/4/2022,23:13:37,1
EQU479,Body Bag,5,Equipment,sent,00002,CLABS002L1,2022-04-21,21:43:56,1
EQU1745,Body Bag,35,Equipment,In Progress,00000,HBATH00102,2022-04-13,09:23:56,1
EQU330,Bone Saw,0,Equipment,In Progress,00000,uSTOR0L1,4/4/2022,23:10:44,1
EQU1432,Syringe,23,Equipment,In Progress,00000,uSTOR0L1,4/4/2022,23:40:37,1
EQU3898,Body Bag,25,Equipment,In Progress,00000,FDEPT00101,2022-04-12,22:21:21,1
EQU1012,First Aid Kit,1254,Equipment,In Progress,00000,uSTOR0L1,4/4/2022,23:33:26,1
EQU7758,Catheter,7,Equipment,In Progress,00000,FDEPT00201,2022-04-12,22:22:05,1
EQU4740,Glucometer,766,Equipment,In Progress,00000,uSTOR0L1,4/4/2022,23:13:37,1
EQU2964,Syringe,75,Equipment,In Progress,00000,uSTOR0L1,4/4/2022,23:13:37,1
EQU5312,First Aid Kit,45,Equipment,In Progress,00000,uSTOR0L1,4/4/2022,23:43:43,1
EQU4268,Dressing,56,null,In Progress,00011,CLABS002L1,2022-04-27,00:51:46,1
EQU5678,Catheter,876,Equipment,In Progress,00000,uSTOR0L1,4/4/2022,23:13:37,1
EQU1994,First Aid Kit,15,Equipment,In Progress,00000,uSTOR0L1,4/4/2022,23:40:37,1
EQU726,Glove,12,Equipment,In Progress,00000,HBATH00102,2022-04-13,09:23:56,1
EQU7057,Gloves,32,Equipment,In Progress,00000,uSTOR0L1,4/4/2022,23:12:44,1
EQU8686,First Aid Kit,10,Equipment,In Progress,00000,FDEPT00201,2022-04-12,01:53:40,1
EQU3353,Bone Saw,78,Equipment,In Progress,00000,uSTOR0L1,4/4/2022,23:13:37,1
EQU6880,Nebulaizer,78,Equipment,In Progress,00000,uSTOR0L1,4/4/2022,23:13:37,1
EQU5592,Oximeter,743,Equipment,In Progress,00000,uSTOR0L1,4/4/2022,23:13:37,1
EQU8150,First Aid Kit,76,Equipment,In Progress,00000,uSTOR0L1,4/4/2022,23:36:55,1
EQU2726,First Aid Kit,100,Equipment,In Progress,00000,FDEPT00101,2022-04-12,01:37:09,1
EQU3837,Large Intestine,78,Equipment,In Progress,00000,uSTOR0L1,4/4/2022,23:13:37,1
